,level,order,adjacency_matrix,solution,nodes_to_traverse
0,1,18,"   A B C D E F G H I J K L M N O P Q R
 A 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 B 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0
 C 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 D 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
 E 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0
 F 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0
 G 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
 H 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 I 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0
 J 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1
 K 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0
 L 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0
 M 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
 N 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0
 O 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0
 P 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
 Q 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1
 R 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0",M -> K -> P -> B -> H -> A -> C -> G -> N -> O -> I -> L -> F -> E -> Q -> R -> J -> D,"('M', 'D')"
1,1,19,"   A B C D E F G H I J K L M N O P Q R S
 A 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0
 B 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0
 C 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
 D 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
 E 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1
 F 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1
 G 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
 H 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0
 I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0
 J 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 K 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
 L 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 M 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 N 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 O 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 P 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0
 Q 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 R 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0
 S 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0",K -> P -> G -> B -> N -> H -> Q -> A -> M -> C -> D -> J -> F -> S -> E -> L -> R -> I -> O,"('K', 'O')"
2,1,21,"   A B C D E F G H I J K L M N O P Q R S T U
 A 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1
 B 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1
 C 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0
 D 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
 E 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 F 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0
 G 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0
 H 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0
 I 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0
 J 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 K 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 L 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 M 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0
 N 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 O 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
 P 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
 Q 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
 R 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
 S 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0
 T 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 U 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0",O -> M -> S -> K -> F -> T -> E -> D -> R -> Q -> A -> U -> B -> N -> H -> J -> C -> P -> I -> G -> L,"('O', 'L')"
3,2,23,"   A B C D E F G H I J K L M N O P Q R S T U V W
 A 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0
 B 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0
 C 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0
 D 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
 E 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 F 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
 G 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
 H 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0
 I 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 J 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
 K 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0
 L 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
 M 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 N 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
 O 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
 P 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0
 Q 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
 R 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
 S 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
 T 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
 U 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 V 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
 W 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0",J -> B -> K -> D -> E,"('J', 'E')"
4,2,25,"   A B C D E F G H I J K L M N O P Q R S T U V W X Y
 A 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 B 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0
 C 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 D 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0
 E 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
 F 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 G 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0
 H 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 I 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0
 J 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 K 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
 L 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 M 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0
 N 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 O 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 P 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
 Q 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 R 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
 S 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
 T 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
 U 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
 V 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
 W 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 X 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 Y 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0",E -> D -> O,"('E', 'O')"
5,2,21,"   A B C D E F G H I J K L M N O P Q R S T U
 A 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 B 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
 C 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 D 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1
 E 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
 F 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
 G 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0
 H 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0
 I 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 J 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 K 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0
 L 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 M 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 N 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0
 O 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0
 P 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
 Q 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0
 R 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 S 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0
 T 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0
 U 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0",P -> Q -> N -> D -> K -> M,"('P', 'M')"
6,3,20,"   A B C D E F G H I J K L M N O P Q R S T U V W X Y Z
 A 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 B 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0
 C 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1
 D 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1
 E 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0
 F 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
 G 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 H 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0
 I 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 J 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
 K 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 L 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0
 M 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
 N 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
 O 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
 P 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 Q 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0
 R 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
 S 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0
 T 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 U 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 V 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 W 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 X 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 Y 1 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 Z 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0",A -> Y -> D -> Z -> C,"('A', 'C')"
7,3,17,"   A B C D E F G H I J K L M N O P Q R S T U
 A 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 0
 B 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 C 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
 D 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1
 E 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 F 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
 G 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0
 H 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0
 I 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1
 J 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 K 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0
 L 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
 M 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
 N 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0
 O 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0
 P 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 Q 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 R 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
 S 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
 T 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
 U 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0",G -> Q -> A -> R -> N -> T,"('G', 'T')"
8,3,16,"   A B C D E F G H I J K L M N O P Q R S
 A 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
 B 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0
 C 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0
 D 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
 E 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 F 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0
 G 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1
 H 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 I 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 J 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
 K 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1
 L 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0
 M 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 N 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0
 O 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
 P 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 Q 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0
 R 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0
 S 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0",S -> K -> L -> Q -> M,"('S', 'M')"
9,4,19,"   A B C D E F G H I J K L M N O P Q R S T U V W X Y Z
 A 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0
 B 0 0 3 0 0 0 1 0 0 0 0 0 0 3 0 0 0 0 0 0 0 4 0 0 0 0
 C 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 2
 D 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 5 0 0
 E 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 3 0 0 0 0 0 0
 F 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0
 G 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0
 H 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0
 I 0 0 0 0 0 0 0 5 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0
 J 5 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 K 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0
 L 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0
 M 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0
 N 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 O 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0
 P 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 Q 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 1 0 0 0 0 0
 R 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0
 S 0 0 0 2 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 T 0 0 3 0 3 0 0 0 0 0 0 0 0 0 5 0 0 4 0 0 0 0 0 0 0 0
 U 0 0 0 0 0 0 0 2 0 0 0 0 5 0 0 0 1 0 0 0 0 0 1 3 0 0
 V 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 W 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 3
 X 4 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0
 Y 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 Z 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0",Z -> W -> U -> X -> A,"('Z', 'A')"
